UQMD   version:       10010   1000  10001  output_file  13
projectile:  (mass, char)    0   0   target:  (mass, char)    0   0 
transformation betas (NN,lab,pro)     0.0000000  0.9907499 -0.9907499
impact_parameter_real/min/max(fm):    0.00  0.00  0.00  total_cross_section(mbarn):       0.00
equation_of_state:    0  E_lab(GeV/u): 0.1000E+03  sqrt(s)(GeV): 0.1382E+02  p_lab(GeV/u): 0.1009E+03
event#         1 random seed:           0 (auto)   total_time(fm/c):   8000 Delta(t)_O(fm/c):   8000.00
op  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
op  0    0    0    0    0    0    1    0    1    0    0    0    0    2    1  
op  0    0    0    1    1    0    0    0    0    1    1    0    0    0    0  
pa 0.1000E+01   0.5200E+00   0.5000E+00   0.3000E+00   0.0000E+00   0.3700E+00   0.0000E+00   0.9300E-01   0.3500E+00   0.2500E+00   0.0000E+00   0.5000E+00  
pa 0.2700E+00   0.4900E+00   0.2700E+00   0.1000E+01   0.1600E+01   0.8500E+00   0.1550E+01   0.0000E+00   0.0000E+00   0.1000E+01 * 0.0000E+00   0.0000E+00  
pa 0.9000E+00   0.5000E+02   0.1000E+01   0.1000E+01   0.4000E+00   0.1500E+01   0.1600E+01   0.0000E+00   0.2500E+01   0.1000E+00   0.3000E+01   0.2750E+00  
pa 0.4200E+00   0.1080E+01   0.8000E+00   0.5000E+00   0.0000E+00   0.5500E+00   0.5000E+01   0.8000E+00   0.5000E+00   0.8000E+06   0.1000E+01   0.2000E+01  
pvec: r0              rx              ry              rz              p0              px              py              pz              m          ityp 2i3 chg lcl#  ncl or 
         309        8000
      43       1      42       0     105      10       0       0
  0.8000000000000000D+04  0.2552163767627304D+03 -0.5942354330195447D+04 -0.3110522734069496D+04  0.1725484486009731D+01  0.5526909157427526D-01 -0.1282277842399651D+01 -0.6705631819356886D+00  0.9382700000000000D+00    1  1  1     0    0  99  0.5737749990787766D+01 -0.8482914200000000D+00 -0.1492251960000000D+01 -0.3767515428659186D+01  0.1725484486009731D+01  0.5526909157427526D-01 -0.1282277842399651D+01 -0.6705631819356886D+00
  0.8000000000000000D+04 -0.1943086022536624D+04 -0.3018237279427123D+02  0.7546175154478513D+04  0.4140839386063236D+01 -0.1005038764676518D+01 -0.1796079359026273D-01  0.3905864145059793D+01  0.9382700000000000D+00    1  1  1     0    0  99  0.4020615965134406D+01 -0.2351670570000000D+01  0.4500000000000000D+01  0.3934012295239261D+01  0.4140839386063236D+01 -0.1005038764676518D+01 -0.1796079359026273D-01  0.3905864145059793D+01
  0.8000000000000000D+04  0.7871175115522119D+03  0.2526287986768873D+04 -0.7279937727477496D+04  0.3759827429424142D+01  0.3700163841240866D+00  0.1188198730535931D+01 -0.3421581996442975D+01  0.9382700000000000D+00    1  1  1     0    0  99  0.9018363030351217D+01  0.7000000000000000D+00  0.9395725100000000D+00 -0.7848937181753054D+01  0.3759827429424142D+01  0.3700163841240866D+00  0.1188198730535931D+01 -0.3421581996442975D+01
  0.8000000000000000D+04  0.3414422792391443D+04  0.2905412955225566D+04  0.3334670661896102D+04  0.1310715193532399D+01  0.5590793735900785D+00  0.4759692767238032D+00  0.5463581492920369D+00  0.9382700000000000D+00   -1 -1 -1     0    0  99  0.1997574749730649D+01  0.2912642860000000D+01  0.1041778050000000D+01  0.7856007819888324D+00  0.1310715193532399D+01  0.5590793735900785D+00  0.4759692767238032D+00  0.5463581492920369D+00
  0.8000000000000000D+04  0.4551309142896179D+03 -0.9870532432389251D+03 -0.7733051678041626D+04  0.4327266959301498D+01  0.2468424884880386D+00 -0.5364167598635374D+00 -0.4182847665141173D+01  0.9382700000000000D+00   -1 -1 -1    27    2  22  0.2642090355342782D+02  0.2899893283381133D+00  0.1367740180576670D+01 -0.2558481268010186D+02  0.4327266959301498D+01  0.2468424884880386D+00 -0.5364167598635374D+00 -0.4182847665141173D+01
  0.8000000000000000D+04  0.1400788286123355D+04  0.7520099537000121D+03  0.7718279239861472D+04  0.5459478402869668D+01  0.9566137066419069D+00  0.5165349711905307D+00  0.5267270851908946D+01  0.9380000233650208D+00    1 -1  0     6    3  20  0.7231075655677590D+02  0.1169291241711345D+02  0.1951352347727818D+01  0.6969390009134342D+02  0.5459478402869668D+01  0.9566137066419069D+00  0.5165349711905307D+00  0.5267270851908946D+01
  0.8000000000000000D+04  0.9539795102855003D+01 -0.5984683919600205D+03  0.7881781807327632D+04  0.6103674052190409D+01  0.6733109713947277D-02 -0.4574550749968090D+00  0.6013545931484662D+01  0.9395700000000000D+00    1 -1  0    21    1  22  0.3585873676642513D+02  0.7543592417308953D+00 -0.1575961645813706D+01  0.3524071064173481D+02  0.6103674052190409D+01  0.6733109713947277D-02 -0.4574550749968090D+00  0.6013545931484662D+01
  0.8000000000000000D+04 -0.7543201795217658D+03 -0.1803371636180946D+04 -0.5170856921007231D+04  0.1299683271815686D+01 -0.1226377163628082D+00 -0.2930246143093788D+00 -0.8399293946943882D+00  0.9395700000000000D+00   -1  1  0     0    0  99  0.7083569844448461D+01 -0.1110277000000000D+00 -0.1300850980000000D+01 -0.5378835223687337D+01  0.1299683271815686D+01 -0.1226377163628082D+00 -0.2930246143093788D+00 -0.8399293946943882D+00
  0.8000000000000000D+04 -0.9415051087879613D+02  0.4042746328179395D+04  0.4862997948058846D+04  0.1531739079162299D+01 -0.1835197490913890D-01  0.7740325106368001D+00  0.9310840135532427D+00  0.9380000233650208D+00   -1  1  0     9    4  20  0.8918706397381953D+01  0.1591724461499411D+01  0.4619469280720280D+01  0.5533550436461314D+01  0.1531739079162299D+01 -0.1835197490913890D-01  0.7740325106368001D+00  0.9310840135532427D+00
  0.8000000000000000D+04  0.6108059197691628D+04 -0.3207786638561772D+03 -0.2845645257912518D+04  0.2077335781498476D+01  0.1586643667961061D+01 -0.8405283070369758D-01 -0.7389716363052450D+00  0.1115680000000000D+01   27  0  0     0    0  99  0.2020164848899458D+01 -0.7000000000000000D+00  0.2834326900000000D+01 -0.5201228442675527D+00  0.2077335781498476D+01  0.1586643667961061D+01 -0.8405283070369758D-01 -0.7389716363052450D+00
